employee_id,employee_super_region,year_nbr,month_nbr,active_days,interactions_count,pitches_count,wins_count,,,,
26246,APAC,2020,10,2,2,7,2,,,,
26246,APAC,2020,11,7,10,20,5,,,,
26246,APAC,2020,12,3,5,11,0,,,,
26655,LATAM,2020,5,1,1,\N,\N,,,,
26655,LATAM,2020,6,16,109,144,51,,,,
26655,LATAM,2020,7,12,79,114,38,,,,
26655,LATAM,2020,8,18,102,248,54,,,,
26655,LATAM,2020,9,21,145,528,101,,,,
26655,LATAM,2020,10,15,89,288,59,,,,
26655,LATAM,2020,11,10,77,292,83,,,,
26655,LATAM,2020,12,10,76,249,46,,,,
26807,APAC,2020,10,1,1,2,0,,,,
27215,EMEA,2020,6,14,74,158,52,,,,
27215,EMEA,2020,7,14,73,175,66,,,,
27215,EMEA,2020,8,17,87,208,85,,,,
27215,EMEA,2020,9,20,105,189,59,,,,
27215,EMEA,2020,10,21,121,362,71,,,,
27215,EMEA,2020,11,20,115,426,40,,,,
27215,EMEA,2020,12,6,37,104,15,,,,
27372,APAC,2020,5,3,3,\N,\N,,,,
27372,APAC,2020,6,14,128,439,129,,,,
27372,APAC,2020,7,13,89,266,76,,,,
27372,APAC,2020,8,11,79,292,65,,,,
27372,APAC,2020,9,11,75,222,40,,,,
27372,APAC,2020,10,16,104,355,74,,,,
27372,APAC,2020,11,14,91,258,66,,,,
27372,APAC,2020,12,10,48,145,22,,,,
27625,AMER,2020,6,18,182,417,97,,,,
27625,AMER,2020,7,13,103,330,53,,,,
27625,AMER,2020,8,17,132,388,70,,,,
27625,AMER,2020,9,19,148,272,97,,,,
27625,AMER,2020,10,13,107,287,73,,,,
27625,AMER,2020,11,15,130,388,98,,,,
27625,AMER,2020,12,14,119,369,115,,,,
27723,APAC,2020,6,14,121,164,55,,,,
27723,APAC,2020,7,8,36,70,27,,,,
27723,APAC,2020,8,10,52,143,30,,,,
27723,APAC,2020,9,14,87,240,67,,,,
27723,APAC,2020,10,9,56,163,47,,,,
27723,APAC,2020,11,8,42,132,30,,,,
27723,APAC,2020,12,5,26,68,15,,,,
27823,APAC,2020,6,8,40,40,5,,,,
27823,APAC,2020,7,10,131,188,79,,,,
27823,APAC,2020,8,8,50,82,17,,,,
27823,APAC,2020,9,13,146,308,51,,,,
27823,APAC,2020,10,17,171,368,59,,,,
27823,APAC,2020,11,19,134,381,80,,,,
27823,APAC,2020,12,11,72,230,61,,,,
28085,APAC,2020,6,8,104,106,53,,,,
